country,hdi,mean_years_schooling
Switzerland,0.967,13.90406622
Norway,0.966,13.06234279
Iceland,0.959,13.76716995
"Hong Kong, China (SAR)",0.956,12.34776974
Denmark,0.952,12.96049023
Sweden,0.952,12.67372015
Germany,0.95,14.25594044
Ireland,0.95,11.6569568
Singapore,0.949,11.92488003
Australia,0.946,12.72681999
Netherlands,0.946,12.58162975
Belgium,0.942,12.52857789
Finland,0.942,12.92915501
Liechtenstein,0.942,12.351169
United Kingdom,0.94,13.4061203
New Zealand,0.939,12.94468975
United Arab Emirates,0.937,12.77375031
Canada,0.935,13.86876597
Korea (Republic of),0.929,12.61409234
Luxembourg,0.927,12.9600811
United States,0.927,13.57549953
Austria,0.926,12.30571367
Slovenia,0.926,12.88015724
Japan,0.92,12.66923046
Israel,0.915,13.44279092
Malta,0.915,12.21026039
Spain,0.911,10.60540009
France,0.91,11.68859246
Cyprus,0.907,12.44017029
Italy,0.906,10.7401104
Estonia,0.899,13.54843044
Czechia,0.895,12.91605342
Greece,0.893,11.40853024
Bahrain,0.888,11.04658985
Andorra,0.884,11.61343956
Poland,0.881,13.1647501
Latvia,0.879,13.33330305
Lithuania,0.879,13.49810028
Croatia,0.878,12.32871821
Qatar,0.875,10.1317219
Saudi Arabia,0.875,11.31052971
Portugal,0.874,9.575940132
San Marino,0.867,10.52074301
Chile,0.86,11.11136804
Slovakia,0.855,13.00719575
Türkiye,0.855,8.811284129
Hungary,0.851,12.24958992
Argentina,0.849,11.14408016
Kuwait,0.847,7.441742908
Montenegro,0.844,12.61621288
Saint Kitts and Nevis,0.838,10.8494008
Uruguay,0.83,9.058219782
Romania,0.827,11.36019615
Antigua and Barbuda,0.826,10.54622968
Brunei Darussalam,0.823,9.22
Russian Federation,0.821,12.41152954
Bahamas,0.82,12.73161494
Panama,0.82,10.68696295
Oman,0.819,11.89274979
Georgia,0.814,12.70217037
Trinidad and Tobago,0.814,11.73800258
Barbados,0.809,9.89206168
Malaysia,0.807,10.74828052
Costa Rica,0.806,8.804059982
Serbia,0.805,11.5047611
Thailand,0.803,8.834560711
Kazakhstan,0.802,12.43337895
Seychelles,0.802,11.19995
Belarus,0.801,12.24122445
Bulgaria,0.799,11.41318035
Palau,0.797,13.04790021
Mauritius,0.796,9.992049863
Grenada,0.793,9.85796464
Albania,0.789,10.12114431
China,0.788,8.106910446
Armenia,0.786,11.33030033
Mexico,0.781,9.221050262
Iran (Islamic Republic of),0.78,10.74618321
Sri Lanka,0.78,11.24960995
Bosnia and Herzegovina,0.779,10.53631973
Saint Vincent and the Grenadines,0.772,10.99625387
Dominican Republic,0.766,9.150526383
Ecuador,0.765,8.969750404
North Macedonia,0.765,10.22815037
Cuba,0.764,10.54807197
Moldova (Republic of),0.763,11.8338152
Maldives,0.762,7.762392544
Peru,0.762,10.01696229
Azerbaijan,0.76,10.55612992
Brazil,0.76,8.278307638
Colombia,0.758,8.862859726
Libya,0.746,7.77860643
Algeria,0.745,6.987443608
Turkmenistan,0.744,11.14299353
Guyana,0.742,8.627408726
Mongolia,0.741,9.423700333
Dominica,0.74,9.1863441
Tonga,0.739,10.88028609
Jordan,0.736,10.44668007
Ukraine,0.734,11.12330123
Tunisia,0.732,7.953393173
Marshall Islands,0.731,12.81836718
Paraguay,0.731,8.861840248
Fiji,0.729,10.37096977
Egypt,0.728,9.84810224
Uzbekistan,0.727,11.91114998
Viet Nam,0.726,8.455348794
Saint Lucia,0.725,8.576973425
Lebanon,0.723,8.602969077
South Africa,0.717,11.60696983
"Palestine, State of",0.716,9.938480377
Indonesia,0.713,8.556509972
Philippines,0.71,8.971409559
Botswana,0.708,10.42
Jamaica,0.706,9.248188719
Samoa,0.702,11.36735585
Kyrgyzstan,0.701,11.96131992
Belize,0.7,8.847599983
Venezuela (Bolivarian Republic of),0.699,9.628154421
Bolivia (Plurinational State of),0.698,9.827750206
Morocco,0.698,6.05
Nauru,0.696,9.247975
Gabon,0.693,9.55
Suriname,0.69,8.388631804
Bhutan,0.681,5.835794662
Tajikistan,0.679,11.28955089
El Salvador,0.674,7.150929928
Iraq,0.673,6.811878947
Bangladesh,0.67,7.379059792
Nicaragua,0.669,7.26
Cabo Verde,0.661,6.09003905
Tuvalu,0.653,10.64458626
Equatorial Guinea,0.65,8.281327014
India,0.644,6.570700169
Micronesia (Federated States of),0.634,7.33252398
Guatemala,0.629,5.668648013
Kiribati,0.628,9.128581569
Honduras,0.624,7.296200514
Lao People's Democratic Republic,0.62,5.94697053
Vanuatu,0.614,7.183209727
Sao Tome and Principe,0.613,5.915788918
Eswatini (Kingdom of),0.61,5.73
Namibia,0.61,7.243458294
Myanmar,0.608,6.518157697
Ghana,0.602,6.432318439
Kenya,0.601,7.686359882
Nepal,0.601,4.485598758
Cambodia,0.6,5.197100163
Congo,0.593,8.250552585
Angola,0.591,5.844291601
Cameroon,0.587,6.537401781
Comoros,0.586,6.209056832
Zambia,0.569,7.284893177
Papua New Guinea,0.568,4.933631146
Timor-Leste,0.566,6.020059751
Solomon Islands,0.562,5.8796802
Syrian Arab Republic,0.557,5.736797587
Haiti,0.552,5.609468426
Uganda,0.55,6.235476362
Zimbabwe,0.55,8.807762621
Nigeria,0.548,7.585969925
Rwanda,0.548,4.878310204
Togo,0.547,5.590314011
Mauritania,0.54,4.754063344
Pakistan,0.54,4.422319019
Côte d'Ivoire,0.534,4.23697763
Tanzania (United Republic of),0.532,5.639967963
Lesotho,0.521,7.545058784
Senegal,0.517,2.88736686
Sudan,0.516,3.87
Djibouti,0.515,3.889984156
Malawi,0.508,5.243740082
Benin,0.504,3.137261725
Gambia,0.495,4.512420177
Eritrea,0.493,5.09136442
Ethiopia,0.492,2.390854081
Liberia,0.487,5.318104412
Madagascar,0.487,4.592520237
Guinea-Bissau,0.483,3.673035
Congo (Democratic Republic of the),0.481,7.206164799
Guinea,0.471,2.35910296
Afghanistan,0.462,2.514790058
Mozambique,0.461,3.860090017
Sierra Leone,0.458,3.519426358
Burkina Faso,0.438,2.318685239
Yemen,0.424,2.776825958
Burundi,0.42,3.305215598
Mali,0.41,1.626710057
Chad,0.394,2.282753488
Niger,0.394,1.341352433
Central African Republic,0.387,3.9531639
South Sudan,0.381,5.726140022
Somalia,0.38,1.900300026
